Source;Target;Weight
1001;1002_2;28
1001;102303_2;2
1001;102306_1;2
1001;102306_2;1
1001;102314;3
1001;102818;1
1001;103312;2
1001;104;154
1001;104304;1
1001;110071;29
1001;111306;2
1001;112310;5
1001;112802;12
1001;113302;1
1001;113305;1
1001;113323_1;3
1001;113323_2;2
1001;113323_3;1
1001;113909;1
1001;113957;1
1001;132100;3
1001;1900;4
1001;2100;98
1001;3100;18
1001;4100;11
1001;999999;1
1002_1;132100;2
1002_1;2100;5
1002_1;4100;14
1002_2;104;3
1002_2;113305;1
1002_2;113957;1
1002_2;2100;5
1002_2;3100;4
102303_2;104;1
102303_2;2100;4
102306_1;104;1
102306_1;2100;2
102314;104;1
102314;110071;1
102314;2100;1
103312;104;2
104;104304;1
104;110071;37
104;111306;2
104;112310;1
104;113302;3
104;113315;1
104;113323_1;1
104;113323_3;1
104;113957;1
104;132100;6
104;1900;6
104;2100;124
104;2900;2
104;3100;14
104;4100;3
104304;113323_1;1
104304;2100;1
110071;112802;1
110071;113302;3
110071;132100;2
110071;1900;1
110071;2100;35
110071;2900;1
110071;3100;6
110071;4100;2
111306;2100;1
111306;999999;1
113302;132100;7
113302;2100;15
113302;3100;1
113305;113957;4
113305;2100;6
113315;2100;10
113315;4100;2
113323_1;113323_2;3
113323_1;113323_3;4
113323_1;132100;1
113323_1;2100;14
113323_1;3100;1
113323_1;4100;2
113323_2;113323_3;2
113323_2;2100;7
113323_2;3100;1
113323_2;4100;1
113323_3;2100;8
113850;2100;2
113909;132100;1
113909;2100;3
113957;132100;1
113957;2100;8
113957;3100;1
132100;1900;2
132100;2100;57
132100;3100;4
132100;4100;4
1900;2100;47
1900;2900;1
1900;4100;1
2100;2900;36
2100;3100;28
2100;4100;41
2100;999999;1
2900;3100;2
